,fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name
148,27667,2018-11-17 15:00:00+00:00,1542466800,141,Segunda Division,Spain,2018,14,535,Malaga,714,Gimnastic
149,27668,2018-11-18 11:00:00+00:00,1542538800,141,Segunda Division,Spain,2018,14,717,Numancia,861,Rayo Majadahonda
150,27669,2018-11-17 17:00:00+00:00,1542474000,141,Segunda Division,Spain,2018,14,727,Osasuna,719,Tenerife
151,27670,2018-11-17 19:45:00+00:00,1542483900,141,Segunda Division,Spain,2018,14,718,Oviedo,731,Sporting Gijon
152,27671,2018-11-17 17:00:00+00:00,1542474000,141,Segunda Division,Spain,2018,14,729,Reus,860,Extremadura
153,27672,2018-11-17 19:30:00+00:00,1542483000,141,Segunda Division,Spain,2018,14,732,Zaragoza,798,Mallorca
154,27673,2018-11-25 19:30:00+00:00,1543174200,141,Segunda Division,Spain,2018,15,711,Alcorcon,732,Zaragoza
155,27674,2018-11-24 19:30:00+00:00,1543087800,141,Segunda Division,Spain,2018,15,724,Cadiz,534,Las Palmas
156,27675,2018-11-24 17:00:00+00:00,1543078800,141,Segunda Division,Spain,2018,15,544,Deportivo La Coruna,727,Osasuna
157,27676,2018-11-25 17:00:00+00:00,1543165200,141,Segunda Division,Spain,2018,15,797,Elche,722,Albacete
158,27677,2018-11-25 15:00:00+00:00,1543158000,141,Segunda Division,Spain,2018,15,860,Extremadura,535,Malaga
159,27678,2018-11-24 15:00:00+00:00,1543071600,141,Segunda Division,Spain,2018,15,714,Gimnastic,723,Almeria
160,27679,2018-11-23 20:00:00+00:00,1543003200,141,Segunda Division,Spain,2018,15,715,Granada CF,731,Sporting Gijon
161,27680,2018-11-24 17:00:00+00:00,1543078800,141,Segunda Division,Spain,2018,15,716,Lugo,713,Cordoba
162,27681,2018-11-25 11:00:00+00:00,1543143600,141,Segunda Division,Spain,2018,15,798,Mallorca,717,Numancia
163,27682,2018-11-25 17:00:00+00:00,1543165200,141,Segunda Division,Spain,2018,15,718,Oviedo,729,Reus
164,27683,2018-11-25 19:00:00+00:00,1543172400,141,Segunda Division,Spain,2018,15,719,Tenerife,861,Rayo Majadahonda
165,27684,2018-12-01 19:00:00+00:00,1543690800,141,Segunda Division,Spain,2018,16,723,Almeria,860,Extremadura
166,27685,2018-12-01 15:00:00+00:00,1543676400,141,Segunda Division,Spain,2018,16,713,Cordoba,797,Elche
167,27686,2018-12-02 19:30:00+00:00,1543779000,141,Segunda Division,Spain,2018,16,534,Las Palmas,718,Oviedo
168,27687,2018-12-01 17:00:00+00:00,1543683600,141,Segunda Division,Spain,2018,16,535,Malaga,715,Granada CF
169,27688,2018-12-02 17:00:00+00:00,1543770000,141,Segunda Division,Spain,2018,16,717,Numancia,714,Gimnastic
170,27689,2018-12-02 15:00:00+00:00,1543762800,141,Segunda Division,Spain,2018,16,727,Osasuna,716,Lugo
171,27690,2018-12-02 11:00:00+00:00,1543748400,141,Segunda Division,Spain,2018,16,861,Rayo Majadahonda,544,Deportivo La Coruna
172,27691,2018-12-01 17:00:00+00:00,1543683600,141,Segunda Division,Spain,2018,16,729,Reus,798,Mallorca
173,27692,2018-12-01 19:30:00+00:00,1543692600,141,Segunda Division,Spain,2018,16,731,Sporting Gijon,719,Tenerife
174,27693,2018-11-30 20:00:00+00:00,1543608000,141,Segunda Division,Spain,2018,16,732,Zaragoza,724,Cadiz
175,27694,2018-12-08 17:00:00+00:00,1544288400,141,Segunda Division,Spain,2018,17,722,Albacete,727,Osasuna
176,27695,2018-12-09 11:00:00+00:00,1544353200,141,Segunda Division,Spain,2018,17,711,Alcorcon,729,Reus
177,27696,2018-12-09 15:00:00+00:00,1544367600,141,Segunda Division,Spain,2018,17,724,Cadiz,861,Rayo Majadahonda
178,27697,2018-12-08 12:00:00+00:00,1544270400,141,Segunda Division,Spain,2018,17,544,Deportivo La Coruna,717,Numancia
179,27698,2018-12-09 17:00:00+00:00,1544374800,141,Segunda Division,Spain,2018,17,797,Elche,731,Sporting Gijon
180,27699,2018-12-08 15:00:00+00:00,1544281200,141,Segunda Division,Spain,2018,17,714,Gimnastic,715,Granada CF
181,27700,2018-12-09 19:00:00+00:00,1544382000,141,Segunda Division,Spain,2018,17,716,Lugo,534,Las Palmas
182,27701,2018-12-08 17:00:00+00:00,1544288400,141,Segunda Division,Spain,2018,17,798,Mallorca,535,Malaga
183,27702,2018-12-08 19:00:00+00:00,1544295600,141,Segunda Division,Spain,2018,17,718,Oviedo,723,Almeria
184,27703,2018-12-07 20:00:00+00:00,1544212800,141,Segunda Division,Spain,2018,17,719,Tenerife,860,Extremadura
