fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
27560,"Daniel Ocon Arraiz, Spain",UTC,2018-09-08T16:00:00+00:00,1536422400,1536422400.0,1536426000.0,,Jorge Garbajosa,Oviedo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,718,Oviedo,https://media.api-sports.io/football/teams/718.png,False,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,True,0.0,4.0,0.0,1.0,0.0,4.0,,,,
27561,"Juan Luis Pulido Santana, Spain",UTC,2018-09-10T18:00:00+00:00,1536602400,1536602400.0,1536606000.0,1461.0,Estadio Wanda Metropolitano,Madrid,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,861,Rayo Majadahonda,https://media.api-sports.io/football/teams/861.png,True,716,Lugo,https://media.api-sports.io/football/teams/716.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
27562,"Saul Ais Reig, Spain",UTC,2018-09-09T10:00:00+00:00,1536487200,1536487200.0,1536490800.0,,Estadio Municipal de Reus,Reus,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,729,Reus,https://media.api-sports.io/football/teams/729.png,False,722,Albacete,https://media.api-sports.io/football/teams/722.png,True,1.0,2.0,0.0,1.0,1.0,2.0,,,,
27563,"Cesar Soto Grado, Spain",UTC,2018-09-17T18:00:00+00:00,1537207200,1537207200.0,1537210800.0,,Carlos Belmonte,Albacete,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,722,Albacete,https://media.api-sports.io/football/teams/722.png,,724,Cadiz,https://media.api-sports.io/football/teams/724.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27564,"Aitor Gorostegui Fernandez Orte, Spain",UTC,2018-09-15T18:00:00+00:00,1537034400,1537034400.0,1537038000.0,,Santo Domingo,Alcorcon,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,True,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
27565,"Victor Areces Franco, Spain",UTC,2018-09-16T16:30:00+00:00,1537115400,1537115400.0,1537119000.0,,Estadio del Mediterráneo,Almeria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,723,Almeria,https://media.api-sports.io/football/teams/723.png,True,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,False,2.0,1.0,0.0,0.0,2.0,1.0,,,,
27566,"Luis Mario Milla Alvendiz,",UTC,2018-09-16T10:00:00+00:00,1537092000,1537092000.0,1537095600.0,1473.0,Estadio Manuel Martínez Valero,Elche,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,797,Elche,https://media.api-sports.io/football/teams/797.png,,798,Mallorca,https://media.api-sports.io/football/teams/798.png,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
27567,"Jorge Figueroa Vazquez, Spain",UTC,2018-09-16T16:00:00+00:00,1537113600,1537113600.0,1537117200.0,1475.0,Estadio Francisco de la Hera,Almendralejo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,860,Extremadura,https://media.api-sports.io/football/teams/860.png,False,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
27568,"Javier Iglesias Villanueva, Spain",UTC,2018-09-15T14:00:00+00:00,1537020000,1537020000.0,1537023600.0,,Nou Estadi Municipal,Tarragona,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,True,727,Osasuna,https://media.api-sports.io/football/teams/727.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
27569,"Ruben Avalos Barrera,",UTC,2018-09-16T18:00:00+00:00,1537120800,1537120800.0,1537124400.0,,Nuevo Los Cármenes,Granada,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 5,715,Granada CF,https://media.api-sports.io/football/teams/715.png,True,861,Rayo Majadahonda,https://media.api-sports.io/football/teams/861.png,False,3.0,0.0,2.0,0.0,3.0,0.0,,,,
